EventName,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
Aguila Breakaway & Calf Roping – Wednesdays & Sundays,1/1/26,12/31/26,Starts 11 AM,,49507 N 527th Drive,Aguila,AZ,,Breakaway Roping,Weekly Breakaway & Calf Roping Jackpot,$500 Added if 50 entries in Breakaway Open,"Weekly Breakaway & Calf Roping every Wednesday and Sunday at 49507 N 527th Drive, Aguila, AZ. Starts 11 AM. BREAKAWAY WARM UP: 2 for $60, 50% payback. BREAKAWAY OPEN: 3 for $150, 35% stock charge ($500 added if 50 entries), non-progressive. CALF ROPING Under 16/Over 50: 3 for $200. CALF ROPING OPEN: 3 for $250, 40% stock charge, non-progressive. Enter all ropings 3x. Cash only.",,360-630-3870,,645392555_2343659292727284_146919173200390146_n.jpg,3/2/26,YES
Zabawa Weekly Ropings – Friday #8.5,1/1/26,12/31/26,,Zabawa Arena,,Maricopa,AZ,,Team Roping,Weekly Team Roping Jackpot,80% payback,"Zabawa Arena Friday weekly #8.5 team roping, Maricopa, AZ. Capped at 4+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,,,,3/1/26,YES
5 Flat Monday Ropings,1/1/26,12/31/26,,Flying E Ranch,,Wickenburg,AZ,,Team Roping,Weekly Team Roping Jackpot,,"5 Flat Monday Ropings at Flying E Ranch, Wickenburg, AZ. Every Monday. 30+ and Ladies divisions. #12.5, #11.5, #10.5 handicaps. $125/roper, 4-steer PA1, enter 3x. Fresh cattle. Cash only.",,,,,3/1/26,YES
Zabawa Weekly Ropings – Monday #9.5,1/1/26,12/31/26,,Zabawa Arena,,Maricopa,AZ,,Team Roping,Weekly Team Roping Jackpot,80% payback,"Zabawa Arena Monday weekly #9.5 team roping, Maricopa, AZ. For 40+ or any age ladies, capped at 5+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,,,,3/1/26,YES
High Call Productions Saturday & Sunday Ropings,1/1/26,12/31/26,"Books open 9 AM, close 10 AM, rope 10:15 AM",Flying E Ranch,,Wickenburg,AZ,,Team Roping,Weekly Team Roping Jackpot,70–80% payback,"High Call Productions weekend team roping at Flying E Ranch, Wickenburg, AZ. Books open 9 AM, close 10 AM, rope 10:15 AM. SATURDAYS (40+ & All Ladies): #12.5 Handicap 4-steer $100/man enter 3x 80% payback; #8.5 Handicap (50+ & Ladies) 3-steer $120/man enter 3x or draw up to 6; #9.5 Handicap (50+ & Ladies) 4-steer $150/man enter 2x or draw up to 4 70% payback. SUNDAYS (All Ages): #7.5 Handicap 3-steer $120/man knives to average winners; #9.5 Handicap 3-steer $120/man; #11.5 Handicap 4-steer $150/man 70% payback. Cash only. USTRC/WSTR card required.",,,,,3/1/26,YES
Arizona Cutting Horse Association - May Madness and Novice Challenge,4/29/26,5/3/26,8:00 AM,Horseshoe Park & Equestrian Centre,20464 E Riggs Road,Queen Creek,AZ,85142.0,Cutting,NCHA Sanctioned Show,,"Arizona Cutting Horse Association May Madness and Novice Challenge at Horseshoe Park — five days of NCHA-sanctioned cutting including the Novice Challenge for newer horses and riders. Open, Non-Pro, Amateur and Novice divisions. Contact Kathy Unfried at 928-277-6103 or arizonacuttinghorse@gmail.com.",https://azcha.com,480-358-3793,,,3/25/26,NO
Turquoise Circuit PRCA Rodeo - Clovis NM,4/30/26,5/2/26,,Clovis Rodeo Arena,,Clovis,NM,,Rodeo,PRCA Rodeo,,"Turquoise Circuit PRCA Pro Rodeo in Clovis, New Mexico. Three days of professional rodeo featuring all PRCA events. Clovis is a major stop on the New Mexico leg of the Turquoise Circuit. Visit prorodeo.com for official schedule and competitor entry details.",https://www.prorodeo.com,,,,3/25/26,NO
Pacific Ridge Show Jumping - Spring 2 (Regional),5/1/26,5/3/26,8:00 AM,Los Angeles Equestrian Center,480 W Riverside Dr,Burbank,CA,91506.0,Hunter/Jumper,Regional Horse Show,,"Pacific Ridge Show Jumping Spring 2 Regional at LAEC — three days of regional hunter/jumper competition. Designed to be more accessible and affordable than the national shows, inviting riders who can't commit to multi-week circuits. Free for spectators. Entries at prsj.showgroundslive.com.",https://pacificridgeshowjumping.com,818-840-9063,,,3/25/26,NO
Pinnacle Circuit Horse Show,5/6/26,5/10/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Quarter Horse Show,Circuit Show,,Pinnacle Circuit Horse Show at South Point Arena in Las Vegas. Five days of premier AQHA-affiliated quarter horse competition. Free to the public. Part of the Pinnacle Circuit series leading to the AQHA West Level 1 Championships. Visit pinnaclecircuit.com for class schedule.,https://pinnaclecircuit.com/,702-797-8005,,,3/25/26,NO
Horsinalities Pony Club - Summer Session,5/8/26,7/10/26,9:00 AM - 1:00 PM,Come Back Ranch Animal Sanctuary,1 County Rd 4075,Eagar,AZ,,Youth Program,Pony Club,,"Horsinalities Pony Club 10-week summer session at Come Back Ranch Animal Sanctuary in Eagar. Ages 7–18. Every Friday 9 AM–1 PM. $600 for 10 weeks or $60 per session. Learn horse care, horsinalities, tie-dye crafts, horseshoe decorating and horse painting. Scholarships available. comebackranch.org.",https://comebackranch.org,928-270-8932,rescuedirector@comebackranch.org,653782727_1345035337670174_3745390812191067987_n.jpg,3/24/26,NO
